Date,orders
2013-01-02,[]
2013-01-03,[]
2013-01-04,[]
2013-01-07,[]
2013-01-08,[]
2013-01-09,[]
2013-01-10,[]
2013-01-11,[]
2013-01-14,[]
2013-01-15,[]
2013-01-16,[]
2013-01-17,[]
2013-01-18,[]
2013-01-22,[]
2013-01-23,[]
2013-01-24,[]
2013-01-25,[]
2013-01-28,[]
2013-01-29,[]
2013-01-30,[]
2013-01-31,[]
2013-02-01,[]
2013-02-04,[]
2013-02-05,[]
2013-02-06,[]
2013-02-07,[]
2013-02-08,[]
2013-02-11,[]
2013-02-12,[]
2013-02-13,[]
2013-02-14,[]
2013-02-15,[]
2013-02-19,[]
2013-02-20,[]
2013-02-21,[]
2013-02-22,[]
2013-02-25,[]
2013-02-26,[]
2013-02-27,[]
2013-02-28,[]
2013-03-01,"[{'id': '7fd002b7c23f421da1d431714afdfe8d', 'dt': Timestamp('2013-03-01 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-03-01 21:00:00+0000', tz='UTC'), 'amount': 1301, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2013-03-04,"[{'id': '7fd002b7c23f421da1d431714afdfe8d', 'dt': Timestamp('2013-03-04 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-03-01 21:00:00+0000', tz='UTC'), 'amount': 1301, 'filled': 1301, 'commission': 3.903, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '7add9202e44649c89e718fbf1aee1ea8', 'dt': Timestamp('2013-03-04 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-03-04 21:00:00+0000', tz='UTC'), 'amount': 32, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2013-03-05,"[{'id': '7add9202e44649c89e718fbf1aee1ea8', 'dt': Timestamp('2013-03-05 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-03-04 21:00:00+0000', tz='UTC'), 'amount': 32, 'filled': 32, 'commission': 0.096, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}]"
2013-03-06,[]
2013-03-07,[]
2013-03-08,[]
2013-03-11,[]
2013-03-12,[]
2013-03-13,[]
2013-03-14,[]
2013-03-15,[]
2013-03-18,[]
2013-03-19,[]
2013-03-20,[]
2013-03-21,[]
2013-03-22,[]
2013-03-25,[]
2013-03-26,[]
2013-03-27,[]
2013-03-28,[]
2013-04-01,[]
2013-04-02,[]
2013-04-03,[]
2013-04-04,[]
2013-04-05,[]
2013-04-08,[]
2013-04-09,[]
2013-04-10,[]
2013-04-11,[]
2013-04-12,[]
2013-04-15,[]
2013-04-16,[]
2013-04-17,"[{'id': 'fc56f1829e06455a86baab354f874f65', 'dt': Timestamp('2013-04-17 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-04-17 20:00:00+0000', tz='UTC'), 'amount': 45, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2013-04-18,"[{'id': 'fc56f1829e06455a86baab354f874f65', 'dt': Timestamp('2013-04-18 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-04-17 20:00:00+0000', tz='UTC'), 'amount': 45, 'filled': 45, 'commission': 0.135, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '27a1e8d950204e00a143e8b17d9166d1', 'dt': Timestamp('2013-04-18 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-04-18 20:00:00+0000', tz='UTC'), 'amount': 31, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2013-04-19,"[{'id': '27a1e8d950204e00a143e8b17d9166d1', 'dt': Timestamp('2013-04-19 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-04-18 20:00:00+0000', tz='UTC'), 'amount': 31, 'filled': 31, 'commission': 0.093, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '8ce42925049c4a64bbce1dc8658bd979', 'dt': Timestamp('2013-04-19 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-04-19 20:00:00+0000', tz='UTC'), 'amount': 4, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2013-04-22,"[{'id': '8ce42925049c4a64bbce1dc8658bd979', 'dt': Timestamp('2013-04-22 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-04-19 20:00:00+0000', tz='UTC'), 'amount': 4, 'filled': 4, 'commission': 0.012, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}]"
2013-04-23,[]
2013-04-24,[]
2013-04-25,[]
2013-04-26,[]
2013-04-29,[]
2013-04-30,[]
2013-05-01,[]
2013-05-02,[]
2013-05-03,[]
2013-05-06,[]
2013-05-07,[]
2013-05-08,[]
2013-05-09,[]
2013-05-10,[]
2013-05-13,[]
2013-05-14,[]
2013-05-15,[]
2013-05-16,[]
2013-05-17,[]
2013-05-20,[]
2013-05-21,[]
2013-05-22,[]
2013-05-23,[]
2013-05-24,[]
2013-05-28,[]
2013-05-29,[]
2013-05-30,[]
2013-05-31,[]
2013-06-03,[]
2013-06-04,[]
2013-06-05,[]
2013-06-06,[]
2013-06-07,[]
2013-06-10,[]
2013-06-11,[]
2013-06-12,[]
2013-06-13,[]
2013-06-14,[]
2013-06-17,[]
2013-06-18,[]
2013-06-19,"[{'id': '6b05ae7ddb9c4d7d8288846a4208f7fa', 'dt': Timestamp('2013-06-19 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-06-19 20:00:00+0000', tz='UTC'), 'amount': -86, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
2013-06-20,"[{'id': '6b05ae7ddb9c4d7d8288846a4208f7fa', 'dt': Timestamp('2013-06-20 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-06-19 20:00:00+0000', tz='UTC'), 'amount': -86, 'filled': -86, 'commission': 0.258, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c27417d9f8c0497b87f8c9bbc340ef8a', 'dt': Timestamp('2013-06-20 20:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2013-06-20 20:00:00+0000', tz='UTC'), 'amount': 14, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [AAPL]), 'status': <ORDER_STATUS.OPEN: 0>}]"
