Date,positions
2013-01-02,[]
2013-01-03,[]
2013-01-04,[]
2013-01-07,[]
2013-01-08,[]
2013-01-09,[]
2013-01-10,[]
2013-01-11,[]
2013-01-14,[]
2013-01-15,[]
2013-01-16,[]
2013-01-17,[]
2013-01-18,[]
2013-01-22,[]
2013-01-23,[]
2013-01-24,[]
2013-01-25,[]
2013-01-28,[]
2013-01-29,[]
2013-01-30,[]
2013-01-31,[]
2013-02-01,[]
2013-02-04,[]
2013-02-05,[]
2013-02-06,[]
2013-02-07,[]
2013-02-08,[]
2013-02-11,[]
2013-02-12,[]
2013-02-13,[]
2013-02-14,[]
2013-02-15,[]
2013-02-19,[]
2013-02-20,[]
2013-02-21,[]
2013-02-22,[]
2013-02-25,[]
2013-02-26,[]
2013-02-27,[]
2013-02-28,[]
2013-03-01,[]
2013-03-04,"[{'sid': Equity(2 [AAPL]), 'amount': 1301, 'cost_basis': 15.003000000011212, 'last_sale_price': 15.0}]"
2013-03-05,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.4}]"
2013-03-06,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.200000000000001}]"
2013-03-07,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.38}]"
2013-03-08,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.42}]"
2013-03-11,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.64}]"
2013-03-12,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.3}]"
2013-03-13,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.3}]"
2013-03-14,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.450000000000001}]"
2013-03-15,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.85}]"
2013-03-18,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 16.28}]"
2013-03-19,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 16.23}]"
2013-03-20,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 16.15}]"
2013-03-21,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 16.17}]"
2013-03-22,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 16.5}]"
2013-03-25,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 16.56}]"
2013-03-26,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 16.47}]"
2013-03-27,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 16.15}]"
2013-03-28,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.81}]"
2013-04-01,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.32}]"
2013-04-02,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.35}]"
2013-04-03,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.43}]"
2013-04-04,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.280000000000001}]"
2013-04-05,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.11}]"
2013-04-08,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.22}]"
2013-04-09,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.25}]"
2013-04-10,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.56}]"
2013-04-11,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.51}]"
2013-04-12,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.35}]"
2013-04-15,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 14.99}]"
2013-04-16,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 15.22}]"
2013-04-17,"[{'sid': Equity(2 [AAPL]), 'amount': 1333, 'cost_basis': 15.012602400611094, 'last_sale_price': 14.39}]"
2013-04-18,"[{'sid': Equity(2 [AAPL]), 'amount': 1378, 'cost_basis': 14.979632801171688, 'last_sale_price': 14.0}]"
2013-04-19,"[{'sid': Equity(2 [AAPL]), 'amount': 1409, 'cost_basis': 14.957045422295662, 'last_sale_price': 13.950000000000001}]"
2013-04-22,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 14.24}]"
2013-04-23,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 14.5}]"
2013-04-24,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 14.48}]"
2013-04-25,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 14.59}]"
2013-04-26,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 14.9}]"
2013-04-29,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.36}]"
2013-04-30,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.81}]"
2013-05-01,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.69}]"
2013-05-02,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 15.91}]"
2013-05-03,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 16.07}]"
2013-05-06,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 16.45}]"
2013-05-07,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 16.38}]"
2013-05-08,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 16.57}]"
2013-05-09,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 16.31}]"
2013-05-10,"[{'sid': Equity(2 [AAPL]), 'amount': 1413, 'cost_basis': 14.955024062289162, 'last_sale_price': 16.18}]"
